,const,density,dz,zenith,algae
562,1.0,900,0.1,50,7000
563,1.0,900,0.1,50,11000
564,1.0,900,0.1,50,13000
565,1.0,900,0.1,50,15000
566,1.0,900,0.1,50,20000
567,1.0,900,0.1,60,0
568,1.0,900,0.1,60,5000
569,1.0,900,0.1,60,7000
570,1.0,900,0.1,60,11000
571,1.0,900,0.1,60,13000
572,1.0,900,0.1,60,15000
573,1.0,900,0.1,60,20000
574,1.0,900,0.1,70,0
575,1.0,900,0.1,70,5000
576,1.0,900,0.1,70,7000
577,1.0,900,0.1,70,11000
578,1.0,900,0.1,70,13000
579,1.0,900,0.1,70,15000
580,1.0,900,0.1,70,20000
581,1.0,900,0.1,80,0
582,1.0,900,0.1,80,5000
583,1.0,900,0.1,80,7000
584,1.0,900,0.1,80,11000
585,1.0,900,0.1,80,13000
586,1.0,900,0.1,80,15000
587,1.0,900,0.1,80,20000
588,1.0,400,0.15,30,0
589,1.0,400,0.15,30,5000
590,1.0,400,0.15,30,7000
591,1.0,400,0.15,30,11000
592,1.0,400,0.15,30,13000
593,1.0,400,0.15,30,15000
594,1.0,400,0.15,30,20000
595,1.0,400,0.15,40,0
596,1.0,400,0.15,40,5000
597,1.0,400,0.15,40,7000
598,1.0,400,0.15,40,11000
599,1.0,400,0.15,40,13000
600,1.0,400,0.15,40,15000
601,1.0,400,0.15,40,20000
602,1.0,400,0.15,50,0
603,1.0,400,0.15,50,5000
604,1.0,400,0.15,50,7000
605,1.0,400,0.15,50,11000
606,1.0,400,0.15,50,13000
607,1.0,400,0.15,50,15000
608,1.0,400,0.15,50,20000
609,1.0,400,0.15,60,0
610,1.0,400,0.15,60,5000
611,1.0,400,0.15,60,7000
612,1.0,400,0.15,60,11000
613,1.0,400,0.15,60,13000
614,1.0,400,0.15,60,15000
615,1.0,400,0.15,60,20000
616,1.0,400,0.15,70,0
617,1.0,400,0.15,70,5000
618,1.0,400,0.15,70,7000
619,1.0,400,0.15,70,11000
620,1.0,400,0.15,70,13000
621,1.0,400,0.15,70,15000
622,1.0,400,0.15,70,20000
623,1.0,400,0.15,80,0
624,1.0,400,0.15,80,5000
625,1.0,400,0.15,80,7000
626,1.0,400,0.15,80,11000
627,1.0,400,0.15,80,13000
628,1.0,400,0.15,80,15000
629,1.0,400,0.15,80,20000
630,1.0,500,0.15,30,0
631,1.0,500,0.15,30,5000
632,1.0,500,0.15,30,7000
633,1.0,500,0.15,30,11000
634,1.0,500,0.15,30,13000
635,1.0,500,0.15,30,15000
636,1.0,500,0.15,30,20000
637,1.0,500,0.15,40,0
638,1.0,500,0.15,40,5000
639,1.0,500,0.15,40,7000
640,1.0,500,0.15,40,11000
641,1.0,500,0.15,40,13000
642,1.0,500,0.15,40,15000
643,1.0,500,0.15,40,20000
644,1.0,500,0.15,50,0
645,1.0,500,0.15,50,5000
646,1.0,500,0.15,50,7000
647,1.0,500,0.15,50,11000
648,1.0,500,0.15,50,13000
649,1.0,500,0.15,50,15000
650,1.0,500,0.15,50,20000
651,1.0,500,0.15,60,0
652,1.0,500,0.15,60,5000
653,1.0,500,0.15,60,7000
654,1.0,500,0.15,60,11000
655,1.0,500,0.15,60,13000
