dz,density,zenith,algae,BBA,abs
0.1,600,50,5000,0.26229781777732614,94.63027104333584
0.1,600,50,7000,0.2568444955309229,100.16928674993444
0.1,600,50,11000,0.2466756829357052,110.60892514408364
0.1,600,50,13000,0.24192781198049695,115.53893987330217
0.1,600,50,15000,0.23738472114012824,120.29359799210333
0.1,600,50,20000,0.22684258172789037,131.48474717351482
0.1,600,60,0,0.3059573986878661,63.45937708061086
0.1,600,60,5000,0.2891523272049215,76.56012396486665
0.1,600,60,7000,0.2829975036396398,81.42151421186513
0.1,600,60,11000,0.27153853581687826,90.5785406272347
0.1,600,60,13000,0.26619690931805334,94.89981124676373
0.1,600,60,15000,0.2610912204300656,99.06512730364116
0.1,600,60,20000,0.24926609267917357,108.85879906133857
0.1,600,70,0,0.33696547927435977,44.79524831952213
0.1,600,70,5000,0.31722048664743124,55.23632533815578
0.1,600,70,7000,0.31002289499642455,59.09979607806562
0.1,600,70,11000,0.2966761237055885,66.35806551230701
0.1,600,70,13000,0.2904800009799822,69.77365299464905
0.1,600,70,15000,0.28457379329879395,73.05943530197884
0.1,600,70,20000,0.2709597497279541,80.75712010705345
0.1,600,80,0,0.3658905058580674,23.479884683578668
0.1,600,80,5000,0.3399706718433891,30.058197938427078
0.1,600,80,7000,0.3307005569898799,32.45149631220824
0.1,600,80,11000,0.3137814834096868,36.8830724502669
0.1,600,80,13000,0.30605247532176605,38.93764165294084
0.1,600,80,15000,0.2987628693619295,40.89447152076086
0.1,600,80,20000,0.2822630658409506,45.39936309833555
0.1,700,30,0,0.24266576633721557,106.65370624069507
0.1,700,30,5000,0.22764515018948722,126.58838655124967
0.1,700,30,7000,0.22220515089448786,133.8944563043534
0.1,700,30,11000,0.21216084405675564,147.53377061424382
0.1,700,30,13000,0.2075140360356065,153.91870257681578
0.1,700,30,15000,0.20309319382461935,160.04807603592465
0.1,700,30,20000,0.19292177184480863,174.37369929926405
0.1,700,40,0,0.2599896089667212,96.42121362895715
0.1,700,40,5000,0.2438307698304892,115.41107295295517
0.1,700,40,7000,0.23798121141646494,122.3721859171318
0.1,700,40,11000,0.22718393897253658,135.37094791515202
0.1,700,40,13000,0.22218826866323088,141.46190944510244
0.1,700,40,15000,0.21744132781317532,147.2991103180572
0.1,700,40,20000,0.20652383315561879,160.94298589703536
0.1,700,50,0,0.282386076886878,83.06195213270244
0.1,700,50,5000,0.2646373113889815,100.58422642616718
0.1,700,50,7000,0.2582181817413448,107.00799025539645
0.1,700,50,11000,0.24637921595618978,119.00281967130856
0.1,700,50,13000,0.2409063104235803,124.62240433149911
0.1,700,50,15000,0.23570884519917248,130.00721053213974
0.1,700,50,20000,0.22376620507155326,142.59087621231694
0.1,700,60,0,0.31048509244775324,65.81929618555797
0.1,700,60,5000,0.29052423045130127,81.15205605285466
0.1,700,60,7000,0.28331985581453184,86.77044893069686
0.1,700,60,11000,0.27005611631758414,97.25522445972756
0.1,700,60,13000,0.2639359470057553,102.16346137006217
0.1,700,60,15000,0.25813073613423343,106.86428460495931
0.1,700,60,20000,0.24482089730188675,117.83574479307869
0.1,700,70,0,0.3405824420538482,46.24398972605864
0.1,700,70,5000,0.31727014968574874,58.41051812055276
0.1,700,70,7000,0.30890144088774635,62.854595954292655
0.1,700,70,11000,0.2935645981611992,71.12326805958202
0.1,700,70,13000,0.28652152514117857,74.9811939787279
0.1,700,70,15000,0.2798613433863082,78.6681737385515
0.1,700,70,20000,0.2646757281506907,87.2358414235132
0.1,700,80,0,0.36840507616719204,24.262842882415516
0.1,700,80,5000,0.3380420918769985,31.87182321848555
0.1,700,80,7000,0.3273798118598311,34.59723901379979
0.1,700,80,11000,0.30819344125109777,39.58382396652176
0.1,700,80,13000,0.29954565291710056,41.87012514131886
0.1,700,80,15000,0.29146536418773056,44.03056622285566
0.1,700,80,20000,0.2734248682558014,48.94891529704627
0.1,800,30,0,0.2286319733473729,110.70824132667589
0.1,800,30,5000,0.21257509145471926,132.6738013994192
0.1,800,30,7000,0.2068303954042216,140.65120560559774
0.1,800,30,11000,0.1963216879956347,155.4485581639991
0.1,800,30,13000,0.1915017660520868,162.3404635145854
0.1,800,30,15000,0.1869407767581987,168.93259628327957
0.1,800,30,20000,0.1765437518363054,184.2604440483792
0.1,800,40,0,0.2457604034890655,99.83194508592317
0.1,800,40,5000,0.2284153582676056,120.81518275739629
0.1,800,40,7000,0.22221343048850528,128.43583403567683
0.1,800,40,11000,0.21087289445622656,142.5728222507283
0.1,800,40,13000,0.2056742477860257,149.1559721272341
0.1,800,40,15000,0.2007558512397464,155.45359493508286
0.1,800,40,20000,0.18955407778690106,170.08451814199515
0.1,800,50,0,0.26804874034993204,85.72244225680492
0.1,800,50,5000,0.2488938724699915,105.15552266370231
0.1,800,50,7000,0.24205268989072898,112.21216776422055
0.1,800,50,11000,0.2295557786291685,125.29919924088794
0.1,800,50,13000,0.2238331778262258,131.39069481049225
0.1,800,50,15000,0.2184236152319614,137.21462114109326
0.1,800,50,20000,0.20611547845321015,150.74105115386027
0.1,800,60,0,0.29620081127125925,67.70561949797526
0.1,800,60,5000,0.2745194838165606,84.78710613710624
0.1,800,60,7000,0.26679516019239796,90.98444987952325
0.1,800,60,11000,0.2527150227554202,102.46680306354538
0.1,800,60,13000,0.24628173376479767,107.80513661754742
0.1,800,60,15000,0.2402094042991178,112.90446028966792
0.1,800,60,20000,0.2264292237609864,124.72730152168025
0.1,800,70,0,0.32647843945892685,47.4554016931601
0.1,800,70,5000,0.30098914047866604,61.07864283665174
0.1,800,70,7000,0.2919659932028384,66.00153325410939
0.1,800,70,11000,0.2756070074563641,75.08855777257553
0.1,800,70,13000,0.26817417278416217,79.29591664945352
0.1,800,70,15000,0.2611844036267214,83.3032734563156
0.1,800,70,20000,0.24542417927666224,92.54491593825105
0.1,800,80,0,0.3544390328549331,24.997572876383842
0.1,800,80,5000,0.3210586760274082,33.56400205161677
