,dz,density,zenith,BBA,delA
392,0.25,500,50,0.6542557211784917,0.1794423128229079
393,0.25,500,60,0.6636986170389331,0.18888520868334924
394,0.25,500,70,0.6729953422032137,0.19818193384762983
395,0.25,500,80,0.6754948868936153,0.20068147853803142
396,0.25,600,30,0.6022611340987843,0.1274477257432005
397,0.25,600,40,0.609791172434926,0.13497776407934214
398,0.25,600,50,0.6196436469909508,0.14483023863536693
399,0.25,600,60,0.6298720002038928,0.15505859184830895
400,0.25,600,70,0.6400313248390745,0.1652179164834907
401,0.25,600,80,0.6431940307699627,0.1683806224143789
402,0.25,700,30,0.5540007475967066,0.07918733924112276
403,0.25,700,40,0.5623275146056463,0.0875141062500625
404,0.25,700,50,0.5732461152533785,0.09843270689779471
405,0.25,700,60,0.584640480822574,0.1098270724669902
406,0.25,700,70,0.5961342657907056,0.12132085743512178
407,0.25,700,80,0.6005625113219393,0.12574910296635544
408,0.25,800,30,0.470948467440131,-0.003864940915452808
409,0.25,800,40,0.4808485680887365,0.006035159733152662
410,0.25,800,50,0.4938679882543421,0.01905457989875825
411,0.25,800,60,0.5075995721500105,0.03278616379442667
412,0.25,800,70,0.5218782418713409,0.047064833515757076
413,0.25,800,80,0.5294269520925083,0.05461354373692451
414,0.25,900,30,0.19247298527664972,-0.28234042307893414
415,0.25,900,40,0.207010294627589,-0.2678031137279948
416,0.25,900,50,0.2271441069416872,-0.24766930141389662
417,0.25,900,60,0.24983089042841622,-0.2249825179271676
418,0.25,900,70,0.27562522048051197,-0.19918818787507186
419,0.25,900,80,0.29780023424409185,-0.17701317411149198
420,0.3,300,30,0.7018725053187744,0.2842134742600752
421,0.3,300,40,0.7078432602228393,0.29018422916414005
422,0.3,300,50,0.7156165207038386,0.2979574896451394
423,0.3,300,60,0.7236354542070059,0.3059764231483067
424,0.3,300,70,0.7314276191462024,0.31376858808750313
425,0.3,300,80,0.7330134590897504,0.3153544280310511
426,0.3,400,30,0.6730438664402655,0.25538483538156626
427,0.3,400,40,0.6794091168350336,0.26175008577633435
428,0.3,400,50,0.6877082717379178,0.2700492406792186
429,0.3,400,60,0.6962614063450954,0.27860237528639614
430,0.3,400,70,0.7045678656352504,0.2869088345765512
431,0.3,400,80,0.7062447697459313,0.2885857386872321
432,0.3,500,30,0.6430940348069,0.22543500374820075
433,0.3,500,40,0.6498765011193399,0.2322174700606407
434,0.3,500,50,0.658729494636428,0.24107046357772882
435,0.3,500,60,0.6678636740508493,0.2502046429921501
436,0.3,500,70,0.6767672833635273,0.2591082523048281
437,0.3,500,80,0.6787262484814729,0.26106721742277367
438,0.3,600,30,0.608508004746976,0.19084897368827675
439,0.3,600,40,0.6157836226391752,0.19812459158047596
440,0.3,600,50,0.6252971902466351,0.20763815918793588
441,0.3,600,60,0.6351360748265663,0.21747704376786708
442,0.3,600,70,0.6448001603188003,0.22714112926010105
443,0.3,600,80,0.6472823475923815,0.22962331653368223
444,0.3,700,30,0.5626096508052271,0.14495061974652784
445,0.3,700,40,0.5705858235251933,0.15292679246649404
446,0.3,700,50,0.8737825304973309,0.4561234994386317
447,0.3,700,60,0.591897699360904,0.17423866830220475
448,0.3,700,70,0.6027134831229607,0.18505445206426147
449,0.3,700,80,0.6062116974024125,0.18855266634371332
450,0.3,800,30,0.4844655885430285,0.06680655748432929
451,0.3,800,40,0.49381346502108414,0.07615443396238492
452,0.3,800,50,0.5061004232625734,0.0884413922038742
453,0.3,800,60,0.5189966886190638,0.10133765756036456
454,0.3,800,70,0.532222253952075,0.11456322289337578
455,0.3,800,80,0.5383335301853859,0.12067449912668665
456,0.3,900,30,0.20912840586059273,-0.2085306251981065
457,0.3,900,40,0.22348597329080677,-0.19417305776789245
458,0.3,900,50,0.2430585781023527,-0.17460045295634652
459,0.3,900,60,0.26470825492349626,-0.15295077613520297
460,0.3,900,70,0.2889428145653044,-0.12871621649339482
461,0.3,900,80,0.3091815891524206,-0.10847744190627862
